,id,startTime,endTime,downtime,orderStart,orderEnd,stopUpdatedTime,stopUpdatedBy,categoryName,causeOne,causeTwo,causeThree,causeFour,causeFive,childDeviceName,deviceName,shiftName,shiftStartTime,shiftEndTime,deviceDataId,orderId,mainStopId,skuName,comment,reasonOne,reasonTwo,Status
115,115,,,80,03/02/2024 15:07:13,03/02/2024 15:08:53,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,519,,PET (400),,,,
116,116,,,24843,03/02/2024 15:09:13,03/02/2024 22:59:57,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,520,,PET (400),,,,
117,117,,,3200,03/02/2024 23:00:17,03/02/2024 23:59:57,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,521,,PET (400),,,,
118,118,,,17243,03/03/2024 00:00:17,03/03/2024 06:18:20,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,522,,PET (400),,,,
119,119,,,13002,03/08/2024 10:19:27,03/08/2024 14:59:49,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,523,,PET (400),,,,
120,120,,,13124,03/08/2024 15:00:09,03/08/2024 21:54:33,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,524,,PET (400),,,,
121,121,,,0,03/08/2024 21:54:53,03/08/2024 21:54:53,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,525,,PET (400),,,,
122,122,,,2720,03/08/2024 21:55:13,03/08/2024 22:59:53,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,526,,PET (400),,,,
123,123,,,1901,03/08/2024 23:00:13,03/08/2024 23:59:54,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,527,,PET (400),,,,
124,124,,,2981,03/09/2024 00:00:14,03/09/2024 01:48:35,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,528,,PET (400),,,,
125,125,,,0,03/09/2024 01:48:55,03/09/2024 01:49:15,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,529,,PET (400),,,,
126,126,,,75311,03/09/2024 01:50:15,03/09/2024 23:59:46,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,530,,undefined,,,,
127,127,,,5881,03/09/2024 12:07:20,03/09/2024 14:59:41,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,531,,undefined,,,,
